 ,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
5,0.833333333,1.428571429,1.875,2.222222222,2.5,2.727272727,2.916666667,3.076923077,3.214285714,3.333333333
10,1.666666667,2.857142857,3.75,4.444444444,5,5.454545455,5.833333333,6.153846154,6.428571429,6.666666667
15,2.5,4.285714286,5.625,6.666666667,7.5,8.181818182,8.75,9.230769231,9.642857143,10
20,3.333333333,5.714285714,7.5,8.888888889,10,10.90909091,11.66666667,12.30769231,12.85714286,13.33333333
25,4.166666667,7.142857143,9.375,11.11111111,12.5,13.63636364,14.58333333,15.38461538,16.07142857,16.66666667
30,5,8.571428571,11.25,13.33333333,15,16.36363636,17.5,18.46153846,19.28571429,20
35,5.833333333,10,13.125,15.55555556,17.5,19.09090909,20.41666667,21.53846154,22.5,23.33333333
40,6.666666667,11.42857143,15,17.77777778,20,21.81818182,23.33333333,24.61538462,25.71428571,26.66666667
45,7.5,12.85714286,16.875,20,22.5,24.54545455,26.25,27.69230769,28.92857143,30
50,8.333333333,14.28571429,18.75,22.22222222,25,27.27272727,29.16666667,30.76923077,32.14285714,33.33333333
